Length	Assembly
2745	FlyBase_Contig
2744	FlyBase_Contig
2742	FlyBase_Contig
2736	FlyBase_Contig
2735	FlyBase_Contig
2733	FlyBase_Contig
2732	FlyBase_Contig
2729	FlyBase_Contig
2725	FlyBase_Contig
2717	FlyBase_Contig
2715	FlyBase_Contig
2709	FlyBase_Contig
2709	FlyBase_Contig
2708	FlyBase_Contig
2706	FlyBase_Contig
2703	FlyBase_Contig
2698	FlyBase_Contig
2697	FlyBase_Contig
2694	FlyBase_Contig
2689	FlyBase_Contig
2688	FlyBase_Contig
2688	FlyBase_Contig
2688	FlyBase_Contig
2686	FlyBase_Contig
2677	FlyBase_Contig
2671	FlyBase_Contig
2670	FlyBase_Contig
2670	FlyBase_Contig
2668	FlyBase_Contig
2668	FlyBase_Contig
2667	FlyBase_Contig
2665	FlyBase_Contig
2663	FlyBase_Contig
2647	FlyBase_Contig
2646	FlyBase_Contig
2641	FlyBase_Contig
2639	FlyBase_Contig
2637	FlyBase_Contig
2636	FlyBase_Contig
2635	FlyBase_Contig
2618	FlyBase_Contig
2618	FlyBase_Contig
2614	FlyBase_Contig
2612	FlyBase_Contig
2611	FlyBase_Contig
2605	FlyBase_Contig
2604	FlyBase_Contig
2603	FlyBase_Contig
2603	FlyBase_Contig
2591	FlyBase_Contig
2588	FlyBase_Contig
2586	FlyBase_Contig
2584	FlyBase_Contig
2583	FlyBase_Contig
2577	FlyBase_Contig
2577	FlyBase_Contig
2576	FlyBase_Contig
2575	FlyBase_Contig
2575	FlyBase_Contig
2574	FlyBase_Contig
2571	FlyBase_Contig
2561	FlyBase_Contig
2560	FlyBase_Contig
2557	FlyBase_Contig
2556	FlyBase_Contig
2556	FlyBase_Contig
2549	FlyBase_Contig
2547	FlyBase_Contig
2546	FlyBase_Contig
2541	FlyBase_Contig
2536	FlyBase_Contig
2529	FlyBase_Contig
2529	FlyBase_Contig
2529	FlyBase_Contig
2524	FlyBase_Contig
2521	FlyBase_Contig
2520	FlyBase_Contig
2520	FlyBase_Contig
2517	FlyBase_Contig
2516	FlyBase_Contig
2511	FlyBase_Contig
2511	FlyBase_Contig
2510	FlyBase_Contig
2508	FlyBase_Contig
2505	FlyBase_Contig
2504	FlyBase_Contig
2502	FlyBase_Contig
2500	FlyBase_Contig
2494	FlyBase_Contig
2491	FlyBase_Contig
2487	FlyBase_Contig
2482	FlyBase_Contig
2479	FlyBase_Contig
2473	FlyBase_Contig
2470	FlyBase_Contig
2463	FlyBase_Contig
2463	FlyBase_Contig
2454	FlyBase_Contig
2451	FlyBase_Contig
2447	FlyBase_Contig
2446	FlyBase_Contig
2442	FlyBase_Contig
2439	FlyBase_Contig
2438	FlyBase_Contig
2438	FlyBase_Contig
2438	FlyBase_Contig
2435	FlyBase_Contig
2434	FlyBase_Contig
2434	FlyBase_Contig
2432	FlyBase_Contig
2431	FlyBase_Contig
2429	FlyBase_Contig
2428	FlyBase_Contig
2425	FlyBase_Contig
2425	FlyBase_Contig
2425	FlyBase_Contig
2421	FlyBase_Contig
2421	FlyBase_Contig
2419	FlyBase_Contig
2417	FlyBase_Contig
2413	FlyBase_Contig
2412	FlyBase_Contig
2409	FlyBase_Contig
2400	FlyBase_Contig
2394	FlyBase_Contig
2393	FlyBase_Contig
2392	FlyBase_Contig
2390	FlyBase_Contig
2390	FlyBase_Contig
