Length	Assembly
2379	FlyBase_Scaffold
2379	FlyBase_Scaffold
2378	FlyBase_Scaffold
2375	FlyBase_Scaffold
2372	FlyBase_Scaffold
2369	FlyBase_Scaffold
2368	FlyBase_Scaffold
2366	FlyBase_Scaffold
2363	FlyBase_Scaffold
2357	FlyBase_Scaffold
2355	FlyBase_Scaffold
2354	FlyBase_Scaffold
2353	FlyBase_Scaffold
2352	FlyBase_Scaffold
2344	FlyBase_Scaffold
2342	FlyBase_Scaffold
2342	FlyBase_Scaffold
2335	FlyBase_Scaffold
2330	FlyBase_Scaffold
2328	FlyBase_Scaffold
2328	FlyBase_Scaffold
2326	FlyBase_Scaffold
2325	FlyBase_Scaffold
2322	FlyBase_Scaffold
2318	FlyBase_Scaffold
2317	FlyBase_Scaffold
2308	FlyBase_Scaffold
2307	FlyBase_Scaffold
2304	FlyBase_Scaffold
2303	FlyBase_Scaffold
2295	FlyBase_Scaffold
2293	FlyBase_Scaffold
2291	FlyBase_Scaffold
2289	FlyBase_Scaffold
2287	FlyBase_Scaffold
2286	FlyBase_Scaffold
2284	FlyBase_Scaffold
2283	FlyBase_Scaffold
2282	FlyBase_Scaffold
2273	FlyBase_Scaffold
2270	FlyBase_Scaffold
2269	FlyBase_Scaffold
2266	FlyBase_Scaffold
2259	FlyBase_Scaffold
2259	FlyBase_Scaffold
2253	FlyBase_Scaffold
2248	FlyBase_Scaffold
2247	FlyBase_Scaffold
2237	FlyBase_Scaffold
2234	FlyBase_Scaffold
2232	FlyBase_Scaffold
2232	FlyBase_Scaffold
2228	FlyBase_Scaffold
2227	FlyBase_Scaffold
2223	FlyBase_Scaffold
2221	FlyBase_Scaffold
2220	FlyBase_Scaffold
2217	FlyBase_Scaffold
2216	FlyBase_Scaffold
2210	FlyBase_Scaffold
2209	FlyBase_Scaffold
2207	FlyBase_Scaffold
2206	FlyBase_Scaffold
2205	FlyBase_Scaffold
2201	FlyBase_Scaffold
2200	FlyBase_Scaffold
2198	FlyBase_Scaffold
2198	FlyBase_Scaffold
2196	FlyBase_Scaffold
2192	FlyBase_Scaffold
2190	FlyBase_Scaffold
2189	FlyBase_Scaffold
2189	FlyBase_Scaffold
2187	FlyBase_Scaffold
2185	FlyBase_Scaffold
2177	FlyBase_Scaffold
2176	FlyBase_Scaffold
2173	FlyBase_Scaffold
2166	FlyBase_Scaffold
2161	FlyBase_Scaffold
2161	FlyBase_Scaffold
2157	FlyBase_Scaffold
2147	FlyBase_Scaffold
2139	FlyBase_Scaffold
2132	FlyBase_Scaffold
2129	FlyBase_Scaffold
2126	FlyBase_Scaffold
2124	FlyBase_Scaffold
2124	FlyBase_Scaffold
2119	FlyBase_Scaffold
2117	FlyBase_Scaffold
2114	FlyBase_Scaffold
2113	FlyBase_Scaffold
2113	FlyBase_Scaffold
2113	FlyBase_Scaffold
2112	FlyBase_Scaffold
2109	FlyBase_Scaffold
2108	FlyBase_Scaffold
2105	FlyBase_Scaffold
2105	FlyBase_Scaffold
2103	FlyBase_Scaffold
2102	FlyBase_Scaffold
2096	FlyBase_Scaffold
2096	FlyBase_Scaffold
2094	FlyBase_Scaffold
2094	FlyBase_Scaffold
2092	FlyBase_Scaffold
2090	FlyBase_Scaffold
2089	FlyBase_Scaffold
2088	FlyBase_Scaffold
2087	FlyBase_Scaffold
2087	FlyBase_Scaffold
2086	FlyBase_Scaffold
2084	FlyBase_Scaffold
2081	FlyBase_Scaffold
2079	FlyBase_Scaffold
2079	FlyBase_Scaffold
2078	FlyBase_Scaffold
2076	FlyBase_Scaffold
2068	FlyBase_Scaffold
2064	FlyBase_Scaffold
2063	FlyBase_Scaffold
2063	FlyBase_Scaffold
2062	FlyBase_Scaffold
2060	FlyBase_Scaffold
2060	FlyBase_Scaffold
2060	FlyBase_Scaffold
2059	FlyBase_Scaffold
2050	FlyBase_Scaffold
2046	FlyBase_Scaffold
2044	FlyBase_Scaffold
2043	FlyBase_Scaffold
2035	FlyBase_Scaffold
2033	FlyBase_Scaffold
2033	FlyBase_Scaffold
2030	FlyBase_Scaffold
2027	FlyBase_Scaffold
2021	FlyBase_Scaffold
2020	FlyBase_Scaffold
2017	FlyBase_Scaffold
2014	FlyBase_Scaffold
2010	FlyBase_Scaffold
2009	FlyBase_Scaffold
2008	FlyBase_Scaffold
2006	FlyBase_Scaffold
2006	FlyBase_Scaffold
2005	FlyBase_Scaffold
2005	FlyBase_Scaffold
1998	FlyBase_Scaffold
1998	FlyBase_Scaffold
1998	FlyBase_Scaffold
1995	FlyBase_Scaffold
1993	FlyBase_Scaffold
1990	FlyBase_Scaffold
1990	FlyBase_Scaffold
1988	FlyBase_Scaffold
1986	FlyBase_Scaffold
1986	FlyBase_Scaffold
1980	FlyBase_Scaffold
1978	FlyBase_Scaffold
1976	FlyBase_Scaffold
1976	FlyBase_Scaffold
1975	FlyBase_Scaffold
1974	FlyBase_Scaffold
1970	FlyBase_Scaffold
1966	FlyBase_Scaffold
1966	FlyBase_Scaffold
1966	FlyBase_Scaffold
1964	FlyBase_Scaffold
1963	FlyBase_Scaffold
1962	FlyBase_Scaffold
1962	FlyBase_Scaffold
1962	FlyBase_Scaffold
1961	FlyBase_Scaffold
1961	FlyBase_Scaffold
1961	FlyBase_Scaffold
1956	FlyBase_Scaffold
1956	FlyBase_Scaffold
1947	FlyBase_Scaffold
1947	FlyBase_Scaffold
1947	FlyBase_Scaffold
1946	FlyBase_Scaffold
1945	FlyBase_Scaffold
1944	FlyBase_Scaffold
1943	FlyBase_Scaffold
1939	FlyBase_Scaffold
1936	FlyBase_Scaffold
1936	FlyBase_Scaffold
1935	FlyBase_Scaffold
1933	FlyBase_Scaffold
1933	FlyBase_Scaffold
1931	FlyBase_Scaffold
1929	FlyBase_Scaffold
1928	FlyBase_Scaffold
1928	FlyBase_Scaffold
1927	FlyBase_Scaffold
1926	FlyBase_Scaffold
1926	FlyBase_Scaffold
1924	FlyBase_Scaffold
1920	FlyBase_Scaffold
1917	FlyBase_Scaffold
1916	FlyBase_Scaffold
1916	FlyBase_Scaffold
1907	FlyBase_Scaffold
1906	FlyBase_Scaffold
1905	FlyBase_Scaffold
1904	FlyBase_Scaffold
1903	FlyBase_Scaffold
1903	FlyBase_Scaffold
1903	FlyBase_Scaffold
1902	FlyBase_Scaffold
1901	FlyBase_Scaffold
1900	FlyBase_Scaffold
1900	FlyBase_Scaffold
1899	FlyBase_Scaffold
1895	FlyBase_Scaffold
1895	FlyBase_Scaffold
1893	FlyBase_Scaffold
