genome,MAG_ID,cluster,score
3300060291_130.fna,3300060291_130,202_0,60.60034943134313
3300060291_150.fna,3300060291_150,203_0,55.11863099014026
3300044798_26.fna,3300044798_26,204_0,69.17570361691769
3300013307_74.fna,3300013307_74,205_0,73.30562475827153
3300037466_25.fna,3300037466_25,206_0,74.12138497490757
3300049822_49.fna,3300049822_49,207_1,67.96106595071775
3300031670_36.fna,3300031670_36,208_0,29.91345301569035
3300050011_72.fna,3300050011_72,209_0,74.05865979
3300036830_22.fna,3300036830_22,210_0,64.50548766896644
3300064041_98.fna,3300064041_98,211_1,71.77175617640144
3300064046_86.fna,3300064046_86,211_2,82.0719662
3300061175_32.fna,3300061175_32,212_0,76.15387358447511
3300037258_34.fna,3300037258_34,213_0,65.59313020591577
3300066659_129.fna,3300066659_129,214_0,76.82730062145318
3300048611_21.fna,3300048611_21,215_0,68.07275880790486
3300080737_18.fna,3300080737_18,216_0,91.42311793081494
3300056678_18.fna,3300056678_18,217_1,75.00659567333545
3300077813_72.fna,3300077813_72,218_1,81.56369802168595
3300061638_57.fna,3300061638_57,219_0,77.75221031230568
3300082510_11.fna,3300082510_11,220_0,82.7212377
3300046674_27.fna,3300046674_27,221_0,72.75816205785338
3300030042_16.fna,3300030042_16,222_1,73.73840143946641
3300031525_30.fna,3300031525_30,223_0,61.99280816645657
3300037076_30.fna,3300037076_30,224_0,72.96537950501684
3300037222_12.fna,3300037222_12,225_0,74.25532483
3300021420_9.fna,3300021420_9,226_0,48.83851753590561
