Length	Assembly
1719	<=100kb
1716	<=100kb
1716	<=100kb
1715	<=100kb
1714	<=100kb
1713	<=100kb
1712	<=100kb
1710	<=100kb
1710	<=100kb
1709	<=100kb
1708	<=100kb
1704	<=100kb
1703	<=100kb
1703	<=100kb
1696	<=100kb
1690	<=100kb
1690	<=100kb
1687	<=100kb
1685	<=100kb
1683	<=100kb
1683	<=100kb
1683	<=100kb
1680	<=100kb
1679	<=100kb
1678	<=100kb
1675	<=100kb
1667	<=100kb
1657	<=100kb
1650	<=100kb
1645	<=100kb
1643	<=100kb
1643	<=100kb
1641	<=100kb
1637	<=100kb
1637	<=100kb
1637	<=100kb
1636	<=100kb
1630	<=100kb
1629	<=100kb
1625	<=100kb
1625	<=100kb
1623	<=100kb
1622	<=100kb
1619	<=100kb
1614	<=100kb
1611	<=100kb
1610	<=100kb
1610	<=100kb
1608	<=100kb
1597	<=100kb
1595	<=100kb
1594	<=100kb
1586	<=100kb
1586	<=100kb
1586	<=100kb
1581	<=100kb
1577	<=100kb
1577	<=100kb
1575	<=100kb
1573	<=100kb
1571	<=100kb
1567	<=100kb
1566	<=100kb
1560	<=100kb
1560	<=100kb
1558	<=100kb
1556	<=100kb
1556	<=100kb
1555	<=100kb
1553	<=100kb
1552	<=100kb
1550	<=100kb
1550	<=100kb
1549	<=100kb
1546	<=100kb
1544	<=100kb
1543	<=100kb
1541	<=100kb
1540	<=100kb
1538	<=100kb
1534	<=100kb
1533	<=100kb
1533	<=100kb
1532	<=100kb
1529	<=100kb
1527	<=100kb
1525	<=100kb
1525	<=100kb
1525	<=100kb
1521	<=100kb
1520	<=100kb
1519	<=100kb
1518	<=100kb
1516	<=100kb
1510	<=100kb
1509	<=100kb
1508	<=100kb
1504	<=100kb
1504	<=100kb
1502	<=100kb
1494	<=100kb
1492	<=100kb
1492	<=100kb
1490	<=100kb
1489	<=100kb
1488	<=100kb
1487	<=100kb
1487	<=100kb
1485	<=100kb
1484	<=100kb
1482	<=100kb
1478	<=100kb
1476	<=100kb
1475	<=100kb
1473	<=100kb
1471	<=100kb
1468	<=100kb
1467	<=100kb
1466	<=100kb
1464	<=100kb
1462	<=100kb
1461	<=100kb
1461	<=100kb
1459	<=100kb
1458	<=100kb
1456	<=100kb
1453	<=100kb
1452	<=100kb
1452	<=100kb
1451	<=100kb
1446	<=100kb
1446	<=100kb
1445	<=100kb
1443	<=100kb
1441	<=100kb
1440	<=100kb
